frame,t,bx,by
363,14.52,932.9642028239057,196.5855923611993
364,14.56,924.746207994713,193.24296453664414
365,14.6,916.3642072222281,189.99638415410612
366,14.64,907.8230283071532,186.84772115412537
367,14.68,899.1275907324032,183.79878907953778
368,14.72,890.2829028296126,180.8513440309226
369,14.76,881.2940588944816,178.00708365513893
370,14.8,872.166236252597,175.2676461675261
371,14.84,862.9046922774402,172.63460940833892
372,14.88,853.5147613622815,170.1094899339535
373,14.92,844.0018518477218,167.6937421433743
374,14.96,834.3714429066318,165.388757440539
